iEta,iPhi,Depth,CapID,RM,RM fiber,channel,Best DAC setting,Best mean pedestal,Error on best mean pedestal
28,65,1,1,4,7,1,1,8.87,0.2
28,63,2,1,1,4,0,9,9.2,0.21
28,65,2,1,4,5,5,0,9.37,0.21
28,63,3,1,1,4,2,8,8.41,0.19
28,65,3,1,4,5,1,9,9.05,0.2
28,63,4,1,1,6,1,8,8.93,0.2
28,65,4,1,4,4,4,11,9.32,0.21
28,63,5,1,1,4,1,8,9.05,0.2
28,65,5,1,4,5,2,9,8.6,0.19
28,63,6,1,1,4,5,0,9.06,0.2
28,65,6,1,4,5,3,9,9.36,0.21
28,63,7,1,1,4,3,10,9.43,0.21
28,65,7,1,4,5,0,1,8.39,0.19
29,63,1,1,1,2,0,8,8.65,0.19
29,65,1,1,4,7,0,9,8.77,0.2
29,63,2,1,1,2,5,8,9.54,0.21
29,65,2,1,4,7,5,8,8.81,0.2
29,63,3,1,2,5,4,10,9.53,0.21
29,65,3,1,3,4,4,8,9.41,0.21
16,63,4,2,1,2,4,0,8.66,0.19
16,64,4,2,2,7,4,0,9.1,0.2
16,65,4,2,3,2,4,8,9.09,0.2
16,66,4,2,4,7,4,0,8.63,0.19
17,63,2,2,1,2,3,0,9.39,0.21
17,64,2,2,2,7,3,0,9.21,0.21
17,65,2,2,3,2,3,8,9.63,0.22
17,66,2,2,4,7,3,10,8.86,0.2
17,63,3,2,1,6,2,0,9.02,0.2
17,64,3,2,2,4,3,8,9.51,0.21
17,65,3,2,3,6,2,9,9.6,0.22
17,66,3,2,4,4,3,1,8.4,0.19
18,63,2,2,1,2,2,9,8.85,0.2
18,64,2,2,2,7,2,1,8.74,0.2
18,65,2,2,3,2,2,0,9.58,0.22
18,66,2,2,4,7,2,9,8.89,0.2
18,63,3,2,1,6,0,0,8.74,0.2
